label,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,veil-type
"p","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m","p"
"c","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","g","p"
"p","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","y","u","p"
"p","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","u","p"
"p","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","y","p","p"
"p","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u","p"
"c","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","u","p"
"p","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","y","u","p"
"c","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g","p"
"p","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","p","p"
"p","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","p","p"
"p","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"c","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g","p"
"p","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","a","g","p"
"p","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p","p"
"p","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","y","p","p"
"c","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","g","p"
"p","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","s","g","p"
"c","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","s","g","p"
"p","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","s","g","p"
"p","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g","p"
"p","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","s","g","p"
"p","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g","p"
"p","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g","p"
"p","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g","p"
"p","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","y","u","p"
"p","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m","p"
"c","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g","p"
"p","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u","p"
"c","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","g","p"
"p","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g","p"
"p","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g","p"
"p","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","s","g","p"
"p","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","a","g","p"
"p","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d","p"
"c","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"c","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g","p"
"p","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","k","s","g","p"
"p","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","a","g","p"
"p","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","a","g","p"
"p","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","x","s","w","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g","p"
"p","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","g","p"
"p","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","p","p"
"p","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g","p"
"p","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g","p"
"c","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p","p"
"c","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g","p"
"p","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","p","p"
"p","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","k","s","g","p"
"p","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","s","y","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","s","g","p"
"p","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p","p"
"c","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g","p"
"p","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g","p"
"p","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g","p"
"c","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","k","y","u","p"
"c","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u","p"
"p","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","p","p"
"p","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d","p"
"p","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","s","g","p"
"p","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p","p"
"p","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g","p"
"p","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","s","w","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p","p"
"p","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g","p"
"p","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g","p"
"c","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","s","g","p"
"p","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g","p"
"c","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","g","p"
"p","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d","p"
"p","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g","p"
"p","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m","p"
"c","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","s","u","p"
"p","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m","p"
"c","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","v","u","p"
"p","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g","p"
"p","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","p","p"
"p","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","p","p"
"p","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g","p"
"p","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","s","g","p"
"p","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","g","p"
"p","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m","p"
"p","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m","p"
